pair_id,baseline,single_column,two_column,table,section_order,score_range,score_std
PAIR_01,50.0,50.0,50.0,50.0,50.0,0.0,0.0
PAIR_09,100.0,100.0,100.0,100.0,100.0,0.0,0.0
PAIR_10,100.0,50.0,50.0,50.0,50.0,0.0,0.0
PAIR_11,66.7,66.7,50.0,66.7,66.7,16.7,8.35
PAIR_13,73.3,73.3,73.3,73.3,73.3,0.0,0.0
PAIR_14,16.7,16.7,16.7,16.7,25.0,8.3,4.15
PAIR_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAIR_17,35.0,35.0,35.0,35.0,35.0,0.0,0.0
PAIR_20,25.0,25.0,25.0,25.0,25.0,0.0,0.0
PAIR_25,46.7,46.7,40.0,46.7,46.7,6.7,3.35
PAIR_27,50.0,50.0,50.0,50.0,50.0,0.0,0.0
PAIR_29,50.0,33.3,50.0,33.3,50.0,16.7,9.64
