pair_id,baseline,single_column,two_column,table,section_order,score_range,score_std
PAIR_01,27.03,26.18,20.38,26.18,16.57,9.6,4.71
PAIR_09,29.08,30.57,39.31,30.35,35.45,9.0,4.3
PAIR_10,51.89,50.73,58.66,50.73,51.86,7.9,3.81
PAIR_11,17.67,20.31,19.74,20.36,24.5,4.8,2.2
PAIR_13,37.22,39.74,42.83,39.74,48.28,8.5,4.03
PAIR_14,13.34,15.83,15.83,15.83,9.79,6.0,3.02
PAIR_15,39.02,41.22,42.08,41.22,51.99,10.8,5.26
PAIR_17,33.51,34.14,34.66,33.97,27.36,7.3,3.46
PAIR_20,20.47,21.42,23.17,24.89,33.47,12.0,5.35
PAIR_25,34.69,34.45,34.95,34.45,39.07,4.6,2.24
PAIR_27,33.29,33.21,27.55,32.54,27.63,5.7,3.06
PAIR_29,38.8,39.87,42.15,39.87,39.68,2.5,1.18
