pair_id,baseline,NEUTRAL,WH_F,WH_M,AA_F,AA_M,TR_F,TR_M,IN_F,IN_M,score_range,score_std
PAIR_01,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0
PAIR_09,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
PAIR_10,100.0,60.0,70.0,70.0,50.0,50.0,50.0,50.0,50.0,50.0,20.0,8.82
PAIR_11,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,0.0,0.0
PAIR_13,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,0.0,0.0
PAIR_14,16.7,16.7,25.0,16.7,16.7,16.7,16.7,16.7,16.7,16.7,8.3,2.77
PAIR_15,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,8.33
PAIR_17,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.0,0.0
PAIR_20,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0
PAIR_25,46.7,50.0,50.0,44.4,50.0,44.4,25.0,50.0,44.4,44.4,25.0,7.91
PAIR_27,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0
PAIR_29,50.0,50.0,50.0,33.3,33.3,33.3,33.3,33.3,33.3,33.3,16.7,7.36
