pair_id,baseline,NEUTRAL,WH_F,WH_M,AA_F,AA_M,TR_F,TR_M,IN_F,IN_M,score_range,score_std
PAIR_01,27.03,25.54,25.95,25.87,25.46,25.46,25.58,25.96,26.09,25.85,0.6,0.24
PAIR_09,29.08,28.3,28.9,28.94,28.49,27.99,27.67,28.37,28.0,28.34,1.3,0.42
PAIR_10,51.89,50.93,50.53,50.37,50.38,50.18,49.84,49.73,51.0,50.32,1.3,0.43
PAIR_11,17.67,20.04,20.24,20.0,21.01,20.49,20.72,20.13,20.09,20.54,1.0,0.35
PAIR_13,37.22,39.89,39.2,39.52,39.32,38.96,38.65,39.6,39.83,39.24,1.2,0.4
PAIR_14,13.34,15.54,15.25,15.34,15.65,15.06,14.77,15.48,15.39,14.99,0.9,0.29
PAIR_15,39.02,40.76,40.26,40.28,40.24,39.11,39.91,39.89,40.42,40.03,1.6,0.46
PAIR_17,33.51,34.67,34.02,34.43,33.98,33.12,33.52,33.65,33.82,33.9,1.6,0.46
PAIR_20,20.47,28.82,28.3,28.74,28.42,27.67,28.7,28.96,28.14,28.84,1.3,0.42
PAIR_25,34.69,34.74,34.97,34.42,34.71,34.78,34.81,34.81,34.77,34.42,0.5,0.18
PAIR_27,33.29,33.18,33.73,33.68,33.32,33.25,33.29,33.34,33.15,32.74,1.0,0.29
PAIR_29,38.8,39.63,38.02,38.35,38.92,38.37,37.74,39.16,38.84,37.99,1.9,0.62
