pair_id,baseline,NEUTRAL,WH_F,WH_M,AA_F,AA_M,TR_F,TR_M,IN_F,IN_M,score_range,score_std
PAIR_01,38,35,35,35,15,35,15,35,15,12,23,10.97
PAIR_09,75,68,68,68,68,68,62,62,62,62,6,3.16
PAIR_10,92,90,65,75,90,75,75,75,92,90,27,9.77
PAIR_11,62,68,68,68,62,62,68,62,68,68,6,3.0
PAIR_13,82,88,88,88,88,85,88,88,88,82,6,2.12
PAIR_14,0,5,0,5,5,5,5,0,0,5,5,2.5
PAIR_15,92,92,92,92,90,90,92,90,90,90,2,1.05
PAIR_17,85,82,88,82,85,82,88,88,85,88,6,2.78
PAIR_20,12,12,15,12,12,12,10,10,12,10,5,1.58
PAIR_25,68,82,88,82,88,75,88,82,78,78,13,4.85
PAIR_27,12,15,35,12,12,12,18,12,15,22,23,7.57
PAIR_29,68,62,68,68,68,62,62,62,68,68,6,3.16
